"district_name","year","incident_num","Date","Time","district","victim_gender","victim_race","multi_victim","v_hispanic_or_latinx","fatal","Total.","GEOID","NAME","medincome","no_english","little_english","below_highschool","employment_status","pct_below_poverty_level","pct_vacant","total_pop","White_alone","B02001_003","Black_or_African_American_alone","American_Indian_and_Alaska_Native_alone","Asian_alone","one_parent","pct_25_and_up_bachelors_degree"
"Brighton",2015,"I152097955","2015-11-26","2024-04-01T01:56:00Z","D14","Male","White",0,TRUE,FALSE,52047,2135,"ZCTA5 02135",50752,453,521,2442,35155,9260,1851,38682,28242,1757,141,5968,24,688,34820
"Brighton",2015,"I152087906","2015-10-22","2024-04-01T11:45:00Z","D14","Male","Black or African American",0,FALSE,TRUE,52047,2135,"ZCTA5 02135",50752,453,521,2442,35155,9260,1851,38682,28242,1757,141,5968,24,688,34820
"Brighton",2016,"I162058298","2016-07-21","2024-04-01T23:57:00Z","D14","Male","White",0,TRUE,FALSE,52047,2135,"ZCTA5 02135",57330,451,483,2627,36718,8907,1735,40513,29242,2073,140,6400,68,605,36410
"Brighton",2016,"I162031116","2016-04-22","2024-04-01T02:38:00Z","D14","Male","White",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",57330,451,483,2627,36718,8907,1735,40513,29242,2073,140,6400,68,605,36410
"Brighton",2016,"I162076439","2016-09-18","2024-04-01T22:10:15Z","D14","Male","Black or African American",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",57330,451,483,2627,36718,8907,1735,40513,29242,2073,140,6400,68,605,36410
"Brighton",2017,"I172104020","2017-12-16","2024-04-01T17:33:00Z","D14","Male","Black or African American",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",61566,543,586,2568,38471,8415,1425,42644,30614,2285,149,6433,100,583,38194
"Brighton",2018,"I182061887","2018-08-04","2024-04-01T22:53:00Z","D14","Female","White",0,TRUE,FALSE,52047,2135,"ZCTA5 02135",72009,505,684,2594,40643,7716,1039,44760,32108,2137,124,6485,87,691,40340
"Brighton",2018,"I182064331","2018-08-12","2024-04-01T22:52:00Z","D14","Male","White",0,TRUE,FALSE,52047,2135,"ZCTA5 02135",72009,505,684,2594,40643,7716,1039,44760,32108,2137,124,6485,87,691,40340
"Brighton",2018,"I182051210","2018-06-30","2024-04-01T00:41:00Z","D14","Male","Black or African American",1,FALSE,TRUE,52047,2135,"ZCTA5 02135",72009,505,684,2594,40643,7716,1039,44760,32108,2137,124,6485,87,691,40340
"Brighton",2018,"I182013270","2018-02-19","2024-04-01T23:20:00Z","D14","Male","Black or African American",0,FALSE,FALSE,52047,2135,"ZCTA5 02135",72009,505,684,2594,40643,7716,1039,44760,32108,2137,124,6485,87,691,40340
