incident_num,shooting_date,district,victim_gender,victim_race,multi_victim,v_hispanic_or_latinx,fatal,district_name
I152000196-00,2015-01-01 13:30:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I152000879-00,2015-01-04 01:58:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I152001014-00,2015-01-04 18:52:00+00,E5,Male,Black or African American,f,FALSE,FALSE,West Roxbury
I152002232-00,2015-01-08 22:45:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I152002233-00,2015-01-08 22:45:00+00,B2,Female,Black or African American,t,FALSE,FALSE,Roxbury
I152002234-00,2015-01-08 22:45:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I152002215-00,2015-01-08 22:45:00+00,B2,Male,Black or African American,t,FALSE,TRUE,Roxbury
I152003226-00,2015-01-12 23:58:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I152004092-00,2015-01-16 02:25:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I152005490-00,2015-01-20 23:30:00+00,E13,Male,White,f,TRUE,FALSE,Jamaica Plain
I152005465-00,2015-01-20 11:03:00+00,B2,Male,White,f,FALSE,TRUE,Roxbury
I152005806-00,2015-01-22 01:47:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I152006073-00,2015-01-22 19:32:00+00,B2,Female,Black or African American,t,FALSE,FALSE,Roxbury
I152006114-00,2015-01-22 19:32:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I152005008-00,2015-01-19 12:38:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I152006505-00,2015-01-23 23:05:00+00,E13,Male,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152006535-00,2015-01-23 23:05:00+00,E13,Male,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152006455-00,2015-01-23 23:05:00+00,E13,Male,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152006514-00,2015-01-23 23:05:00+00,E13,Male,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152006534-00,2015-01-23 23:05:00+00,E13,Female,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152006502-00,2015-01-23 23:05:00+00,E13,Male,Black or African American,t,FALSE,FALSE,Jamaica Plain
I152009379-00,2015-02-04 19:40:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I152010507-00,2015-02-08 19:34:00+00,B3,Male,Black or African American,f,TRUE,FALSE,Mattapan
I152011034-00,2015-02-10 20:33:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I152011169-00,2015-02-11 10:30:00+00,E13,Male,Black or African American,f,FALSE,TRUE,Jamaica Plain
I152016667-00,2015-03-01 22:28:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I152017250-00,2015-03-03 19:12:00+00,B2,Male,White,f,TRUE,FALSE,Roxbury
I152018392-00,2015-03-07 02:03:00+00,D4,Male,Black or African American,f,FALSE,FALSE,South End
I152019788-00,2015-03-11 18:12:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I152019839-00,2015-03-12 00:11:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I152020404-00,2015-03-13 18:21:03+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I152020435-00,2015-03-13 20:03:15+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I152020724-00,2015-03-14 21:05:20+00,E18,Male,White,f,TRUE,FALSE,Hyde Park
I152020804-00,2015-03-15 03:58:11+00,E18,Male,Black or African American,t,FALSE,TRUE,Hyde Park
I152020820-00,2015-03-15 03:59:42+00,E18,Male,Black or African American,t,FALSE,FALSE,Hyde Park
I152020647-00,2015-03-14 15:46:13+00,B2,Male,White,f,TRUE,TRUE,Roxbury
I152021830-00,2015-03-18 12:30:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I152023517-00,2015-03-23 22:02:00+00,A7,Male,Black or African American,f,FALSE,FALSE,East Boston
I152025357-00,2015-03-28 20:48:08+00,B3,Female,Black or African American,f,FALSE,FALSE,Mattapan
